"Area","Year","Month","Labor Force","Employed","Unemployed","Area Rate","Massachusetts Rate"
"BRISTOL COUNTY","2008","June","292161","272695","19466","6.7","5.3"
"BRISTOL COUNTY","2008","July","291432","270320","21112","7.2","5.5"
"BRISTOL COUNTY","2008","August","291777","270646","21131","7.2","5.4"
"BRISTOL COUNTY","2008","September","289421","267799","21622","7.5","5.5"
"BRISTOL COUNTY","2008","October","291711","269918","21793","7.5","5.4"
"BRISTOL COUNTY","2008","November","291973","269633","22340","7.7","5.7"
"BRISTOL COUNTY","2008","December","293622","267531","26091","8.9","6.3"
"BRISTOL COUNTY","2008","Annual","290677","269445","21232","7.3","5.3"
"BRISTOL COUNTY","2007","January","292924","270684","22240","7.6","5.4"
"BRISTOL COUNTY","2007","February","291359","270568","20791","7.1","5.1"
"BRISTOL COUNTY","2007","March","291817","272141","19676","6.7","4.7"
"BRISTOL COUNTY","2007","April","289121","272023","17098","5.9","4.3"
"BRISTOL COUNTY","2007","May","287556","272883","14673","5.1","4.3"
"BRISTOL COUNTY","2007","June","291598","275568","16030","5.5","4.6"
"BRISTOL COUNTY","2007","July","291308","273750","17558","6.0","4.7"
"BRISTOL COUNTY","2007","August","290404","274230","16174","5.6","4.3"
"BRISTOL COUNTY","2007","September","287653","271976","15677","5.4","4.4"
"BRISTOL COUNTY","2007","October","287584","273655","13929","4.8","4.0"
"BRISTOL COUNTY","2007","November","290131","274858","15273","5.3","4.0"
"BRISTOL COUNTY","2007","December","290573","272833","17740","6.1","4.3"
"BRISTOL COUNTY","2007","Annual","290169","272931","17238","5.9","4.5"
"BRISTOL COUNTY","2006","January","288996","267034","21962","7.6","5.3"
"BRISTOL COUNTY","2006","February","288882","267631","21251","7.4","5.3"
"BRISTOL COUNTY","2006","March","290278","269502","20776","7.2","5.0"
"BRISTOL COUNTY","2006","April","288638","270782","17856","6.2","4.6"
"BRISTOL COUNTY","2006","May","288273","271927","16346","5.7","4.6"
"BRISTOL COUNTY","2006","June","292435","275365","17070","5.8","4.8"
"BRISTOL COUNTY","2006","July","290897","273208","17689","6.1","5.0"
"BRISTOL COUNTY","2006","August","290675","274194","16481","5.7","4.6"
"BRISTOL COUNTY","2006","September","289435","272184","17251","6.0","4.7"
"BRISTOL COUNTY","2006","October","290380","275687","14693","5.1","4.1"
"BRISTOL COUNTY","2006","November","291835","276450","15385","5.3","4.3"
"BRISTOL COUNTY","2006","December","293035","275882","17153","5.9","4.3"
"BRISTOL COUNTY","2006","Annual","290313","272487","17826","6.1","4.7"
"BRISTOL COUNTY","2005","January","287974","266586","21388","7.4","5.5"
"BRISTOL COUNTY","2005","February","287116","266679","20437","7.1","5.5"
"BRISTOL COUNTY","2005","March","287743","268047","19696","6.8","5.1"
"BRISTOL COUNTY","2005","April","285730","269325","16405","5.7","4.6"
"BRISTOL COUNTY","2005","May","285485","270463","15022","5.3","4.7"
"BRISTOL COUNTY","2005","June","290417","273953","16464","5.7","4.9"
"BRISTOL COUNTY","2005","July","288500","271633","16867","5.8","4.9"
"BRISTOL COUNTY","2005","August","288508","272804","15704","5.4","4.5"
"BRISTOL COUNTY","2005","September","287033","269637","17396","6.1","4.8"
"BRISTOL COUNTY","2005","October","287589","272767","14822","5.2","4.3"
"BRISTOL COUNTY","2005","November","288567","273305","15262","5.3","4.5"
"BRISTOL COUNTY","2005","December","289289","272168","17121","5.9","4.5"
"BRISTOL COUNTY","2005","Annual","287829","270614","17215","6.0","4.8"
"BRISTOL COUNTY","2004","January","291184","267471","23713","8.1","6.1"
"BRISTOL COUNTY","2004","February","288448","267456","20992","7.3","5.8"
"BRISTOL COUNTY","2004","March","288652","268226","20426","7.1","5.7"
"BRISTOL COUNTY","2004","April","285927","268750","17177","6.0","5.0"
"BRISTOL COUNTY","2004","May","285627","269189","16438","5.8","5.0"
"BRISTOL COUNTY","2004","June","290139","272265","17874","6.2","5.4"
"BRISTOL COUNTY","2004","July","287753","269712","18041","6.3","5.3"
"BRISTOL COUNTY","2004","August","286709","270942","15767","5.5","4.8"
"BRISTOL COUNTY","2004","September","284037","267926","16111","5.7","4.8"
"BRISTOL COUNTY","2004","October","285413","271051","14362","5.0","4.4"
"BRISTOL COUNTY","2004","November","287063","272284","14779","5.1","4.5"
"BRISTOL COUNTY","2004","December","287047","271095","15952","5.6","4.5"
"BRISTOL COUNTY","2004","Annual","287333","269697","17636","6.1","5.1"
"BRISTOL COUNTY","2003","January","288230","265426","22804","7.9","6.3"
"BRISTOL COUNTY","2003","February","287093","266130","20963","7.3","6.1"
"BRISTOL COUNTY","2003","March","287275","266999","20276","7.1","6.0"
"BRISTOL COUNTY","2003","April","286206","267849","18357","6.4","5.5"
"BRISTOL COUNTY","2003","May","285442","268188","17254","6.0","5.7"
"BRISTOL COUNTY","2003","June","290698","271229","19469","6.7","6.2"
"BRISTOL COUNTY","2003","July","288413","268740","19673","6.8","6.0"
"BRISTOL COUNTY","2003","August","287861","270348","17513","6.1","5.6"
"BRISTOL COUNTY","2003","September","285190","267981","17209","6.0","5.7"
"BRISTOL COUNTY","2003","October","286644","270697","15947","5.6","5.2"
"BRISTOL COUNTY","2003","November","289233","272528","16705","5.8","5.2"
"BRISTOL COUNTY","2003","December","289675","271462","18213","6.3","5.1"
"BRISTOL COUNTY","2003","Annual","287664","268965","18699","6.5","5.7"
"BRISTOL COUNTY","2002","January","282886","263046","19840","7.0","5.6"
"BRISTOL COUNTY","2002","February","284424","265734","18690","6.6","5.4"
"BRISTOL COUNTY","2002","March","285110","266838","18272","6.4","5.4"
"BRISTOL COUNTY","2002","April","284032","267511","16521","5.8","5.0"
"BRISTOL COUNTY","2002","May","284573","268601","15972","5.6","4.9"
"BRISTOL COUNTY","2002","June","288435","270903","17532","6.1","5.4"
"BRISTOL COUNTY","2002","July","287327","269039","18288","6.4","5.4"
"BRISTOL COUNTY","2002","August","289598","271283","18315","6.3","5.1"
"BRISTOL COUNTY","2002","September","285527","268976","16551","5.8","5.2"
"BRISTOL COUNTY","2002","October","286849","270891","15958","5.6","4.9"
"BRISTOL COUNTY","2002","November","287416","270774","16642","5.8","5.1"
"BRISTOL COUNTY","2002","December","287276","270031","17245","6.0","5.3"
"BRISTOL COUNTY","2002","Annual","286122","268636","17486","6.1","5.2"
"BRISTOL COUNTY","2001","January","277187","261275","15912","5.7","3.7"
"BRISTOL COUNTY","2001","February","276671","261828","14843","5.4","3.5"
"BRISTOL COUNTY","2001","March","277931","263051","14880","5.4","3.6"
"BRISTOL COUNTY","2001","April","276676","263959","12717","4.6","3.2"
"BRISTOL COUNTY","2001","May","276192","264369","11823","4.3","3.3"
"BRISTOL COUNTY","2001","June","280763","267081","13682","4.9","3.8"
"BRISTOL COUNTY","2001","July","278799","264949","13850","5.0","3.9"
"BRISTOL COUNTY","2001","August","278122","265741","12381","4.5","3.9"
"BRISTOL COUNTY","2001","September","276323","264177","12146","4.4","4.0"
"BRISTOL COUNTY","2001","October","277556","266106","11450","4.1","4.0"
"BRISTOL COUNTY","2001","November","279502","267108","12394","4.4","4.2"
"BRISTOL COUNTY","2001","December","280280","267154","13126","4.7","4.4"
"BRISTOL COUNTY","2001","Annual","278000","264733","13267","4.8","3.8"
"DUKES COUNTY","2020","January","8480","7836","644","7.6","3.5"
"DUKES COUNTY","2020","February","8369","7755","614","7.3","3.3"
"DUKES COUNTY","2020","March","8269","7674","595","7.2","3.6"
"DUKES COUNTY","2020","April","8512","6490","2022","23.8","16.7"
"DUKES COUNTY","2020","May","9305","7825","1480","15.9","15.6"
"DUKES COUNTY","2020","June","11259","9988","1271","11.3","14.5"
"DUKES COUNTY","2020","July","11982","10909","1073","9.0","13.0"
"DUKES COUNTY","2020","August","11756","10985","771","6.6","10.3"
"DUKES COUNTY","2020","September","10028","9328","700","7.0","9.8"
"DUKES COUNTY","2020","October","9208","8595","613","6.7","8.1"
"DUKES COUNTY","2020","November","8564","7808","756","8.8","7.6"
"DUKES COUNTY","2020","December","8770","7984","786","9.0","7.4"
"DUKES COUNTY","2020","Annual","9542","8598","944","9.9","9.4"
"DUKES COUNTY","2019","January","8610","7849","761","8.8","4.0"
"DUKES COUNTY","2019","February","8285","7548","737","8.9","3.6"
"DUKES COUNTY","2019","March","8219","7600","619","7.5","3.4"
"DUKES COUNTY","2019","April","8587","8152","435","5.1","2.8"
"DUKES COUNTY","2019","May","9509","9168","341","3.6","2.9"
"DUKES COUNTY","2019","June","11193","10878","315","2.8","3.2"
"DUKES COUNTY","2019","July","12665","12385","280","2.2","3.3"
"DUKES COUNTY","2019","August","12458","12215","243","2.0","3.0"
"DUKES COUNTY","2019","September","10352","10111","241","2.3","2.8"
"DUKES COUNTY","2019","October","9288","9044","244","2.6","2.6"
"DUKES COUNTY","2019","November","8561","8196","365","4.3","2.5"
"DUKES COUNTY","2019","December","8721","8285","436","5.0","2.6"
"DUKES COUNTY","2019","Annual","9704","9286","418","4.3","3.1"
"DUKES COUNTY","2018","January","8432","7643","789","9.4","4.3"
"DUKES COUNTY","2018","February","8342","7565","777","9.3","4.2"
"DUKES COUNTY","2018","March","8347","7664","683","8.2","3.8"
"DUKES COUNTY","2018","April","8656","8162","494","5.7","3.3"
"DUKES COUNTY","2018","May","9581","9163","418","4.4","3.3"
"DUKES COUNTY","2018","June","11436","11076","360","3.1","3.7"
"DUKES COUNTY","2018","July","12789","12474","315","2.5","3.7"
"DUKES COUNTY","2018","August","12577","12310","267","2.1","3.3"
"DUKES COUNTY","2018","September","10465","10193","272","2.6","3.2"
"DUKES COUNTY","2018","October","9452","9168","284","3.0","2.9"
"DUKES COUNTY","2018","November","8748","8345","403","4.6","2.8"
"DUKES COUNTY","2018","December","8712","8209","503","5.8","3.0"
"DUKES COUNTY","2018","Annual","9795","9331","464","4.7","3.4"
"DUKES COUNTY","2017","January","8178","7421","757","9.3","4.5"
"DUKES COUNTY","2017","February","8113","7374","739","9.1","4.4"
"DUKES COUNTY","2017","March","8208","7553","655","8.0","4.0"
"DUKES COUNTY","2017","April","8398","7920","478","5.7","3.6"
"DUKES COUNTY","2017","May","9151","8747","404","4.4","3.7"
"DUKES COUNTY","2017","June","11332","10961","371","3.3","4.0"
"DUKES COUNTY","2017","July","12594","12255","339","2.7","4.1"
"DUKES COUNTY","2017","August","12619","12296","323","2.6","3.8"
"DUKES COUNTY","2017","September","10515","10186","329","3.1","3.7"
"DUKES COUNTY","2017","October","9265","8932","333","3.6","3.3"
"DUKES COUNTY","2017","November","8661","8182","479","5.5","3.3"
"DUKES COUNTY","2017","December","8678","8111","567","6.5","3.4"
"DUKES COUNTY","2017","Annual","9643","9162","481","5.0","3.8"
"DUKES COUNTY","2016","January","8164","7346","818","10.0","4.9"
"DUKES COUNTY","2016","February","8037","7218","819","10.2","4.7"
"DUKES COUNTY","2016","March","8153","7403","750","9.2","4.5"
"DUKES COUNTY","2016","April","8313","7788","525","6.3","3.9"
"DUKES COUNTY","2016","May","8944","8523","421","4.7","3.9"
"DUKES COUNTY","2016","June","10723","10344","379","3.5","4.2"
"DUKES COUNTY","2016","July","12130","11777","353","2.9","4.2"
"DUKES COUNTY","2016","August","12050","11732","318","2.6","3.8"
"DUKES COUNTY","2016","September","10104","9776","328","3.2","3.8"
"DUKES COUNTY","2016","October","8956","8637","319","3.6","3.5"
"DUKES COUNTY","2016","November","8345","7904","441","5.3","3.3"
"DUKES COUNTY","2016","December","8359","7836","523","6.3","3.5"
"DUKES COUNTY","2016","Annual","9357","8857","500","5.3","4.0"
"DUKES COUNTY","2015","January","8336","7338","998","12.0","5.8"
"DUKES COUNTY","2015","February","8252","7283","969","11.7","5.5"
"DUKES COUNTY","2015","March","8131","7247","884","10.9","5.2"
"DUKES COUNTY","2015","April","8477","7857","620","7.3","4.6"
"DUKES COUNTY","2015","May","9358","8795","563","6.0","4.9"
"DUKES COUNTY","2015","June","10957","10461","496","4.5","5.0"
"DUKES COUNTY","2015","July","12135","11671","464","3.8","5.0"
"DUKES COUNTY","2015","August","12044","11637","407","3.4","4.5"
"DUKES COUNTY","2015","September","10103","9694","409","4.0","4.5"
"DUKES COUNTY","2015","October","8977","8567","410","4.6","4.2"
"DUKES COUNTY","2015","November","8441","7880","561","6.6","4.1"
"DUKES COUNTY","2015","December","8340","7708","632","7.6","4.1"
"DUKES COUNTY","2015","Annual","9463","8845","618","6.5","4.8"
"DUKES COUNTY","2014","January","8346","7234","1112","13.3","6.7"
"DUKES COUNTY","2014","February","8275","7117","1158","14.0","6.7"
"DUKES COUNTY","2014","March","8248","7161","1087","13.2","6.4"
"DUKES COUNTY","2014","April","8564","7800","764","8.9","5.5"
"DUKES COUNTY","2014","May","9363","8712","651","7.0","5.7"
"DUKES COUNTY","2014","June","10883","10283","600","5.5","5.9"
"DUKES COUNTY","2014","July","11947","11359","588","4.9","6.1"
"DUKES COUNTY","2014","August","11792","11274","518","4.4","5.7"
"DUKES COUNTY","2014","September","10065","9547","518","5.1","5.5"
"DUKES COUNTY","2014","October","9211","8683","528","5.7","5.0"
"DUKES COUNTY","2014","November","8546","7841","705","8.2","4.9"
"DUKES COUNTY","2014","December","8518","7752","766","9.0","4.8"
"DUKES COUNTY","2014","Annual","9480","8730","750","7.9","5.7"
"DUKES COUNTY","2013","January","8335","7122","1213","14.6","7.6"
"DUKES COUNTY","2013","February","8267","7039","1228","14.9","7.2"
"DUKES COUNTY","2013","March","8136","7007","1129","13.9","6.9"
"DUKES COUNTY","2013","April","8636","7768","868","10.1","6.3"
"DUKES COUNTY","2013","May","9363","8595","768","8.2","6.6"
"DUKES COUNTY","2013","June","10908","10184","724","6.6","7.1"
"DUKES COUNTY","2013","July","11979","11288","691","5.8","7.0"
"DUKES COUNTY","2013","August","11637","11011","626","5.4","6.5"
"DUKES COUNTY","2013","September","10019","9371","648","6.5","6.5"
"DUKES COUNTY","2013","October","8901","8273","628","7.1","6.2"
"DUKES COUNTY","2013","November","8424","7614","810","9.6","5.9"
"DUKES COUNTY","2013","December","8341","7490","851","10.2","5.9"
"DUKES COUNTY","2013","Annual","9413","8564","849","9.0","6.6"
"DUKES COUNTY","2012","January","8100","6996","1104","13.6","7.4"
"DUKES COUNTY","2012","February","8177","7028","1149","14.1","7.3"
"DUKES COUNTY","2012","March","8126","7029","1097","13.5","6.9"
"DUKES COUNTY","2012","April","8571","7724","847","9.9","6.3"
"DUKES COUNTY","2012","May","9158","8383","775","8.5","6.5"
"DUKES COUNTY","2012","June","10855","10160","695","6.4","6.9"
"DUKES COUNTY","2012","July","11837","11163","674","5.7","7.1"
"DUKES COUNTY","2012","August","11596","10977","619","5.3","6.7"
"DUKES COUNTY","2012","September","10031","9405","626","6.2","6.5"
"DUKES COUNTY","2012","October","9015","8373","642","7.1","6.3"
"DUKES COUNTY","2012","November","8621","7783","838","9.7","6.1"
"DUKES COUNTY","2012","December","8539","7603","936","11.0","6.4"
"DUKES COUNTY","2012","Annual","9386","8552","834","8.9","6.7"
"DUKES COUNTY","2011","January","8017","6819","1198","14.9","8.3"
"DUKES COUNTY","2011","February","8005","6800","1205","15.1","8.0"
"DUKES COUNTY","2011","March","7999","6863","1136","14.2","7.6"
"DUKES COUNTY","2011","April","8404","7542","862","10.3","7.0"
"DUKES COUNTY","2011","May","8979","8201","778","8.7","7.1"
"DUKES COUNTY","2011","June","10597","9880","717","6.8","7.5"
"DUKES COUNTY","2011","July","11655","10984","671","5.8","7.5"
"DUKES COUNTY","2011","August","11581","10938","643","5.6","7.0"
"DUKES COUNTY","2011","September","9786","9136","650","6.6","7.1"
"DUKES COUNTY","2011","October","8782","8132","650","7.4","6.6"
"DUKES COUNTY","2011","November","8233","7404","829","10.1","6.4"
"DUKES COUNTY","2011","December","8315","7391","924","11.1","6.5"
"DUKES COUNTY","2011","Annual","9196","8341","855","9.3","7.2"
"DUKES COUNTY","2010","January","7919","6734","1185","15.0","9.3"
"DUKES COUNTY","2010","February","7852","6667","1185","15.1","9.1"
"DUKES COUNTY","2010","March","7905","6791","1114","14.1","8.7"
"DUKES COUNTY","2010","April","8497","7605","892","10.5","8.0"
"DUKES COUNTY","2010","May","8984","8200","784","8.7","7.9"
"DUKES COUNTY","2010","June","10498","9802","696","6.6","8.1"
"DUKES COUNTY","2010","July","11514","10838","676","5.9","8.1"
"DUKES COUNTY","2010","August","11378","10735","643","5.7","7.7"
"DUKES COUNTY","2010","September","9698","9041","657","6.8","7.8"
"DUKES COUNTY","2010","October","8648","7974","674","7.8","7.3"
"DUKES COUNTY","2010","November","8184","7289","895","10.9","7.5"
"DUKES COUNTY","2010","December","8146","7195","951","11.7","7.4"
"DUKES COUNTY","2010","Annual","9102","8239","863","9.5","8.1"
"DUKES COUNTY","2009","January","9158","8209","949","10.4","7.8"
"DUKES COUNTY","2009","February","9089","8136","953","10.5","8.1"
"DUKES COUNTY","2009","March","9109","8229","880","9.7","8.1"
"DUKES COUNTY","2009","April","9848","9154","694","7.0","7.5"
"DUKES COUNTY","2009","May","10971","10365","606","5.5","8.0"
"DUKES COUNTY","2009","June","13776","13191","585","4.2","8.4"
"DUKES COUNTY","2009","July","15239","14693","546","3.6","8.5"
"DUKES COUNTY","2009","August","14997","14472","525","3.5","8.2"
"DUKES COUNTY","2009","September","12657","12076","581","4.6","8.4"
"DUKES COUNTY","2009","October","10966","10361","605","5.5","8.1"
"DUKES COUNTY","2009","November","10141","9340","801","7.9","7.9"
"DUKES COUNTY","2009","December","10050","9100","950","9.5","8.2"
"DUKES COUNTY","2009","Annual","11334","10611","723","6.4","8.1"
"DUKES COUNTY","2008","January","9330","8702","628","6.7","5.2"
"DUKES COUNTY","2008","February","9157","8572","585","6.4","5.1"
"DUKES COUNTY","2008","March","9184","8627","557","6.1","4.9"
"DUKES COUNTY","2008","April","9739","9303","436","4.5","4.4"
"DUKES COUNTY","2008","May","10963","10580","383","3.5","4.9"
"DUKES COUNTY","2008","June","13521","13113","408","3.0","5.3"
"DUKES COUNTY","2008","July","15149","14797","352","2.3","5.5"
"DUKES COUNTY","2008","August","14879","14541","338","2.3","5.4"
"DUKES COUNTY","2008","September","12219","11845","374","3.1","5.5"
"DUKES COUNTY","2008","October","10681","10282","399","3.7","5.4"
"DUKES COUNTY","2008","November","9775","9177","598","6.1","5.7"
"DUKES COUNTY","2008","December","9606","8899","707","7.4","6.3"
"DUKES COUNTY","2008","Annual","11183","10703","480","4.3","5.3"
"DUKES COUNTY","2007","January","9244","8601","643","7.0","5.4"
"DUKES COUNTY","2007","February","9125","8544","581","6.4","5.1"
"DUKES COUNTY","2007","March","9177","8662","515","5.6","4.7"
"DUKES COUNTY","2007","April","9731","9306","425","4.4","4.3"
"DUKES COUNTY","2007","May","10803","10445","358","3.3","4.3"
"DUKES COUNTY","2007","June","13607","13254","353","2.6","4.6"
"DUKES COUNTY","2007","July","14927","14620","307","2.1","4.7"
"DUKES COUNTY","2007","August","14914","14657","257","1.7","4.3"
"DUKES COUNTY","2007","September","12212","11928","284","2.3","4.4"
"DUKES COUNTY","2007","October","10712","10444","268","2.5","4.0"
"DUKES COUNTY","2007","November","9623","9245","378","3.9","4.0"
"DUKES COUNTY","2007","December","9456","9003","453","4.8","4.3"
"DUKES COUNTY","2007","Annual","11128","10726","402","3.6","4.5"
"DUKES COUNTY","2006","January","9081","8418","663","7.3","5.3"
"DUKES COUNTY","2006","February","8951","8325","626","7.0","5.3"
"DUKES COUNTY","2006","March","8930","8354","576","6.5","5.0"
"DUKES COUNTY","2006","April","9577","9086","491","5.1","4.6"
"DUKES COUNTY","2006","May","10659","10255","404","3.8","4.6"
"DUKES COUNTY","2006","June","12835","12462","373","2.9","4.8"
"DUKES COUNTY","2006","July","15075","14756","319","2.1","5.0"
"DUKES COUNTY","2006","August","14921","14623","298","2.0","4.6"
"DUKES COUNTY","2006","September","12277","11960","317","2.6","4.7"
"DUKES COUNTY","2006","October","10960","10659","301","2.7","4.1"
"DUKES COUNTY","2006","November","9797","9359","438","4.5","4.3"
"DUKES COUNTY","2006","December","9564","9069","495","5.2","4.3"
"DUKES COUNTY","2006","Annual","11053","10611","442","4.0","4.7"
"DUKES COUNTY","2005","January","8856","8224","632","7.1","5.5"
"DUKES COUNTY","2005","February","8888","8268","620","7.0","5.5"
"DUKES COUNTY","2005","March","8824","8251","573","6.5","5.1"
"DUKES COUNTY","2005","April","9598","9162","436","4.5","4.6"
"DUKES COUNTY","2005","May","10609","10258","351","3.3","4.7"
"DUKES COUNTY","2005","June","13106","12761","345","2.6","4.9"
"DUKES COUNTY","2005","July","14999","14683","316","2.1","4.9"
"DUKES COUNTY","2005","August","14838","14547","291","2.0","4.5"
"DUKES COUNTY","2005","September","12536","12224","312","2.5","4.8"
"DUKES COUNTY","2005","October","10540","10224","316","3.0","4.3"
"DUKES COUNTY","2005","November","9583","9116","467","4.9","4.5"
"DUKES COUNTY","2005","December","9336","8817","519","5.6","4.5"
"DUKES COUNTY","2005","Annual","10977","10545","432","3.9","4.8"
"DUKES COUNTY","2004","January","9186","8481","705","7.7","6.1"
"DUKES COUNTY","2004","February","8937","8288","649","7.3","5.8"
"DUKES COUNTY","2004","March","8927","8283","644","7.2","5.7"
"DUKES COUNTY","2004","April","9774","9309","465","4.8","5.0"
"DUKES COUNTY","2004","May","10890","10499","391","3.6","5.0"
"DUKES COUNTY","2004","June","13475","13089","386","2.9","5.4"
"DUKES COUNTY","2004","July","15422","15090","332","2.2","5.3"
"DUKES COUNTY","2004","August","15119","14817","302","2.0","4.8"
"DUKES COUNTY","2004","September","12658","12380","278","2.2","4.8"
"DUKES COUNTY","2004","October","10841","10546","295","2.7","4.4"
"DUKES COUNTY","2004","November","9599","9170","429","4.5","4.5"
"DUKES COUNTY","2004","December","9400","8943","457","4.9","4.5"
"DUKES COUNTY","2004","Annual","11185","10741","444","4.0","5.1"
"DUKES COUNTY","2003","January","8873","8196","677","7.6","6.3"
"DUKES COUNTY","2003","February","8774","8142","632","7.2","6.1"
"DUKES COUNTY","2003","March","8782","8174","608","6.9","6.0"
"DUKES COUNTY","2003","April","9323","8828","495","5.3","5.5"
"DUKES COUNTY","2003","May","10856","10453","403","3.7","5.7"
"DUKES COUNTY","2003","June","13689","13280","409","3.0","6.2"
"DUKES COUNTY","2003","July","15177","14827","350","2.3","6.0"
"DUKES COUNTY","2003","August","14966","14637","329","2.2","5.6"
"DUKES COUNTY","2003","September","12593","12272","321","2.5","5.7"
"DUKES COUNTY","2003","October","11095","10770","325","2.9","5.2"
"DUKES COUNTY","2003","November","9811","9313","498","5.1","5.2"
"DUKES COUNTY","2003","December","9640","9118","522","5.4","5.1"
"DUKES COUNTY","2003","Annual","11132","10668","464","4.2","5.7"
"DUKES COUNTY","2002","January","8518","7935","583","6.8","5.6"
"DUKES COUNTY","2002","February","8464","7905","559","6.6","5.4"
"DUKES COUNTY","2002","March","8651","8089","562","6.5","5.4"
"DUKES COUNTY","2002","April","9172","8736","436","4.8","5.0"
"DUKES COUNTY","2002","May","10252","9908","344","3.4","4.9"
"DUKES COUNTY","2002","June","12732","12377","355","2.8","5.4"
"DUKES COUNTY","2002","July","14312","14008","304","2.1","5.4"
"DUKES COUNTY","2002","August","14246","13988","258","1.8","5.1"
"DUKES COUNTY","2002","September","12046","11765","281","2.3","5.2"
"DUKES COUNTY","2002","October","10668","10411","257","2.4","4.9"
"DUKES COUNTY","2002","November","9570","9133","437","4.6","5.1"
"DUKES COUNTY","2002","December","9239","8749","490","5.3","5.3"
"DUKES COUNTY","2002","Annual","10656","10250","406","3.8","5.2"
"DUKES COUNTY","2001","January","8194","7724","470","5.7","3.7"
"DUKES COUNTY","2001","February","8083","7648","435","5.4","3.5"
"DUKES COUNTY","2001","March","8341","7919","422","5.1","3.6"
"DUKES COUNTY","2001","April","8737","8427","310","3.5","3.2"
"DUKES COUNTY","2001","May","9953","9707","246","2.5","3.3"
"DUKES COUNTY","2001","June","12360","12139","221","1.8","3.8"
"DUKES COUNTY","2001","July","13474","13273","201","1.5","3.9"
"DUKES COUNTY","2001","August","13171","13003","168","1.3","3.9"
"DUKES COUNTY","2001","September","11292","11109","183","1.6","4.0"
"DUKES COUNTY","2001","October","9779","9596","183","1.9","4.0"
"DUKES COUNTY","2001","November","8877","8540","337","3.8","4.2"
"DUKES COUNTY","2001","December","8868","8471","397","4.5","4.4"
"DUKES COUNTY","2001","Annual","10094","9796","298","3.0","3.8"
"ESSEX COUNTY","2020","January","429253","414160","15093","3.5","3.5"
"ESSEX COUNTY","2020","February","428814","414590","14224","3.3","3.3"
"ESSEX COUNTY","2020","March","423161","407794","15367","3.6","3.6"
"ESSEX COUNTY","2020","April","392380","319364","73016","18.6","16.7"
"ESSEX COUNTY","2020","May","415945","343417","72528","17.4","15.6"
"ESSEX COUNTY","2020","June","431840","361662","70178","16.3","14.5"
"ESSEX COUNTY","2020","July","433526","371110","62416","14.4","13.0"
"ESSEX COUNTY","2020","August","432530","382749","49781","11.5","10.3"
"ESSEX COUNTY","2020","September","427043","380179","46864","11.0","9.8"
"ESSEX COUNTY","2020","October","426813","388331","38482","9.0","8.1"
"ESSEX COUNTY","2020","November","424900","389335","35565","8.4","7.6"
"ESSEX COUNTY","2020","December","424004","389536","34468","8.1","7.4"
"ESSEX COUNTY","2020","Annual","424185","380186","43999","10.4","9.4"
"ESSEX COUNTY","2019","January","432381","415023","17358","4.0","4.0"
"ESSEX COUNTY","2019","February","431995","416164","15831","3.7","3.6"
"ESSEX COUNTY","2019","March","432298","417437","14861","3.4","3.4"
"ESSEX COUNTY","2019","April","429770","417415","12355","2.9","2.8"
"ESSEX COUNTY","2019","May","429597","416541","13056","3.0","2.9"
"ESSEX COUNTY","2019","June","435139","420783","14356","3.3","3.2"
"ESSEX COUNTY","2019","July","435551","420952","14599","3.4","3.3"
"ESSEX COUNTY","2019","August","434700","421437","13263","3.1","3.0"
"ESSEX COUNTY","2019","September","428174","415581","12593","2.9","2.8"
"ESSEX COUNTY","2019","October","430033","418405","11628","2.7","2.6"
"ESSEX COUNTY","2019","November","429935","418717","11218","2.6","2.5"
"ESSEX COUNTY","2019","December","429383","417895","11488","2.7","2.6"
"ESSEX COUNTY","2019","Annual","431580","418029","13551","3.1","3.1"
"ESSEX COUNTY","2018","January","424738","406627","18111","4.3","4.3"
"ESSEX COUNTY","2018","February","428273","410371","17902","4.2","4.2"
"ESSEX COUNTY","2018","March","429509","412849","16660","3.9","3.8"
"ESSEX COUNTY","2018","April","428466","413834","14632","3.4","3.3"
"ESSEX COUNTY","2018","May","430004","415325","14679","3.4","3.3"
"ESSEX COUNTY","2018","June","435331","418549","16782","3.9","3.7"
"ESSEX COUNTY","2018","July","435283","418952","16331","3.8","3.7"
"ESSEX COUNTY","2018","August","431842","416992","14850","3.4","3.3"
"ESSEX COUNTY","2018","September","427497","413204","14293","3.3","3.2"
"ESSEX COUNTY","2018","October","430159","417168","12991","3.0","2.9"
"ESSEX COUNTY","2018","November","430575","418313","12262","2.8","2.8"
"ESSEX COUNTY","2018","December","431160","417909","13251","3.1","3.0"
"ESSEX COUNTY","2018","Annual","430237","415008","15229","3.5","3.4"
"ESSEX COUNTY","2017","January","417842","399042","18800","4.5","4.5"
"ESSEX COUNTY","2017","February","418935","400443","18492","4.4","4.4"
"ESSEX COUNTY","2017","March","421518","404310","17208","4.1","4.0"
"ESSEX COUNTY","2017","April","420308","404831","15477","3.7","3.6"
"ESSEX COUNTY","2017","May","419301","403299","16002","3.8","3.7"
"ESSEX COUNTY","2017","June","425210","407846","17364","4.1","4.0"
"ESSEX COUNTY","2017","July","426219","408803","17416","4.1","4.1"
"ESSEX COUNTY","2017","August","425064","408606","16458","3.9","3.8"
"ESSEX COUNTY","2017","September","420571","404594","15977","3.8","3.7"
"ESSEX COUNTY","2017","October","420645","406223","14422","3.4","3.3"
